City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Sagbayan,PH,82.94,few clouds,9.9144,124.0919,La Batiang
156,Kijang,KR,69.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
157,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
159,Marquette,US,69.78,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
160,Zatoka,UA,62.8,few clouds,46.0725,30.4654,Sonyachna
161,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
163,Honiara,SB,87.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
164,Veinticinco De Mayo,AR,49.98,overcast clouds,-35.4323,-60.1727,Estancia La Rosada
165,Lucapa,AO,63.9,clear sky,-8.4192,20.7447,Lírio Mendes
166,Concepcion,CL,49.8,overcast clouds,-36.827,-73.0498,Hotel El Araucano
167,Asau,RO,54.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
